country,country_code,year,electricity_access,forest_area,gdp_per_capita,internet_users,life_expectancy,population,secondary_school_enrollment,unemployment
Afghanistan,AFG,2000,4.4,1.85278199408184,174.930991430166,,55.005,20130327.0,,7.897
Afghanistan,AFG,2001,9.3,1.85278199408184,138.706821676113,0.0047225682421736,55.511,20284307.0,14.0404100418091,7.973
Afghanistan,AFG,2002,14.1,1.85278199408184,178.954088379235,0.0045613951702214,56.225,21378117.0,,7.867
Afghanistan,AFG,2003,19.0,1.85278199408184,198.871115728727,0.0878912528559713,57.171,22733049.0,13.959529876709,7.844
Afghanistan,AFG,2004,23.8,1.85278199408184,221.763653873013,0.105809030021958,57.81,23560654.0,19.2143802642822,7.794
Afghanistan,AFG,2005,28.7,1.85278199408184,254.184249149336,1.22414808372471,58.247,24404567.0,20.2735099792481,7.878
Afghanistan,AFG,2006,33.5,1.85278199408184,274.218553561575,2.10712364546412,58.553,25424094.0,29.523889541626,7.897
Afghanistan,AFG,2007,38.4,1.85278199408184,376.223152003876,1.899999976,58.956,25909852.0,28.8154907226562,7.841
Afghanistan,AFG,2008,42.4,1.85278199408184,381.73323802844,1.84,59.708,26482622.0,38.930850982666,7.879
Afghanistan,AFG,2017,97.7,1.85278199408184,525.469770891619,13.5,62.406,35688935.0,55.5364303588867,11.184
Afghanistan,AFG,2018,93.4,1.85278199408184,491.337221382603,16.79999924,62.443,36743039.0,57.3578491210938,11.192
Afghanistan,AFG,2019,97.7,1.85278199408184,496.6025042585,17.60000038,62.941,37856121.0,,11.187
Afghanistan,AFG,2020,97.7,1.85278199408184,510.787063366811,17.04850006,61.454,39068979.0,,11.71
Afghanistan,AFG,2021,97.7,1.85278199408184,356.496214115892,16.51429939,60.417,40000412.0,,12.006
Afghanistan,AFG,2022,85.3,1.85278199408184,357.261152798144,15.86629963,65.617,40578842.0,,14.1
Afghanistan,AFG,2023,85.3,1.85278199408184,413.757894705303,15.92840004,66.035,41454761.0,59.6136016845703,14.008
Afghanistan,AFG,2024,87.8,,416.871146273728,16.09499931,66.289,42647492.0,,13.687
Africa Eastern and Southern,AFE,2000,19.9172563342889,39.1047528492012,706.728440776917,,52.5573418626777,406156661.0,27.7371292114258,7.66876829683373
Africa Eastern and Southern,AFE,2001,19.9442774203583,38.9039800957902,625.82886019759,,52.8755360536287,416807868.0,28.7891101837158,7.55388452430262
Africa Eastern and Southern,AFE,2002,21.5486466155625,38.7032073423792,630.513380226995,,53.2067443343026,427820358.0,29.4754505157471,7.51149338877195
Africa Eastern and Southern,AFE,2003,22.4932167182052,38.5024345889681,815.433657549659,,53.6783047685822,439173286.0,30.0984306335449,7.4720424200925
Africa Eastern and Southern,AFE,2004,23.724454932615,37.8406467655959,989.017114690163,,54.1929278660434,450928044.0,31.5510196685791,7.27852246959678
